Wall time,Step,Value
1712445273.585074,3509,0.646399974822998
1712445401.1992936,7019,0.6805999875068665
1712445529.5801783,10529,0.7035999894142151
1712445658.5260713,14039,0.6962000131607056
1712445786.0700395,17549,0.6962000131607056
1712445912.3366716,21059,0.6916000247001648
1712446040.7732167,24569,0.6966000199317932
1712446170.182546,28079,0.7135999798774719
1712446299.750683,31589,0.7164000272750854
1712446427.961662,35099,0.7196000218391418
